party,press_release,claim_number,claim_text,provider,id,doi,title,abstract,year,venue,authors,url,is_open_access
Democratic,20171005-bermans-bill-advancing-green-trucking-technologies-signed-law.txt,5,Platooning could lead to 4.5% fuel savings for the lead truck and 10% fuel savings for the following truck.,publisher,urn:doi:10.1177/0361198119840340,10.1177/0361198119840340,Effect of Heavy-Truck Platooning Fuel-Efficiency Gains on Overall Fuel Efficiency,"This study examines the impact of platooning fuel-efficiency gains on overall fuel efficiency in heavy-truck operations, considering various travel conditions beyond platooning scenarios.",2019,Transportation Research Record,Oscar Franzese; Mary B Lascurain; Luke W. Loy,https://doi.org/10.1177/0361198119840340,False
Democratic,20171005-bermans-bill-advancing-green-trucking-technologies-signed-law.txt,5,Platooning could lead to 4.5% fuel savings for the lead truck and 10% fuel savings for the following truck.,publisher,urn:doi:10.4271/2020-01-0679,10.4271/2020-01-0679,Impact of Mixed Traffic on the Energy Savings of a Truck Platoon,"This paper investigates the effects of mixed traffic conditions on the energy savings of a two-truck platoon equipped with cooperative adaptive cruise control, highlighting real-world challenges to fuel efficiency.",2020,SAE International Journal of Commercial Vehicles,Brian McAuliffe; Arash Raeesi; Patrick Smith; Mark Hoffman; David Bevly,https://doi.org/10.4271/2020-01-0679,False
Democratic,20171005-bermans-bill-advancing-green-trucking-technologies-signed-law.txt,5,Platooning could lead to 4.5% fuel savings for the lead truck and 10% fuel savings for the following truck.,publisher,urn:doi:10.4271/2018-01-0123,10.4271/2018-01-0123,"Class-8 Trucks with Standard-Trailers Net a Fuel Savings of Between 5.2 and 7.8 Percent in a Three-Truck CACC Platoon. With Aerodynamic-Trailers, These Savings Can Grow to 14.2 Percent","This study evaluates the fuel-saving benefits of three-truck platooning using cooperative adaptive cruise control, demonstrating significant improvements with aerodynamic trailers.",2018,SAE International Journal of Commercial Vehicles,Greg Shaver; Miles Droege,https://doi.org/10.4271/2018-01-0123,False
Democratic,20171005-bermans-bill-advancing-green-trucking-technologies-signed-law.txt,5,Platooning could lead to 4.5% fuel savings for the lead truck and 10% fuel savings for the following truck.,publisher,urn:doi:10.4271/2018-01-0124,10.4271/2018-01-0124,Simulation Analysis Estimates Fuel Savings of Up to 12.3 Percent Using Long-Horizon Predictive Cruise Control in Truck Platooning,"This paper presents a simulation analysis estimating fuel savings of up to 12.3% using long-horizon predictive cruise control in truck platooning, considering various control strategies and terrain effects.",2021,SAE International Journal of Commercial Vehicles,Greg Shaver; Miles Droege,https://doi.org/10.4271/2018-01-0124,False
Democratic,20171005-bermans-bill-advancing-green-trucking-technologies-signed-law.txt,5,Platooning could lead to 4.5% fuel savings for the lead truck and 10% fuel savings for the following truck.,publisher,urn:doi:10.4271/2020-01-0678,10.4271/2020-01-0678,Vehicle Platooning Impact on Drag Coefficients and Energy/Fuel Saving Implications,"This study develops power models to estimate fuel reduction in vehicle platoons, showing significant fuel savings for heavy-duty truck platoons compared to constant drag coefficient assumptions.",2020,SAE International Journal of Commercial Vehicles,Ahmed A. Hussein; Hesham A. Rakha,https://doi.org/10.4271/2020-01-0678,False
Democratic,20171005-bermans-bill-advancing-green-trucking-technologies-signed-law.txt,5,Platooning could lead to 4.5% fuel savings for the lead truck and 10% fuel savings for the following truck.,publisher,urn:doi:10.4271/2020-01-0677,10.4271/2020-01-0677,Considerate and Cooperative Model Predictive Control for Energy-Efficient Truck Platooning of Heterogeneous Fleets,"This paper presents a cooperative model predictive control strategy for energy-efficient truck platooning, demonstrating improved harmonization and fuel economy in real-world driving scenarios.",2022,SAE International Journal of Commercial Vehicles,Tyler Ard; Bibin Pattel; Ardalan Vahidi; Hoseinali Borhan,https://doi.org/10.4271/2020-01-0677,False
Democratic,20171005-bermans-bill-advancing-green-trucking-technologies-signed-law.txt,5,Platooning could lead to 4.5% fuel savings for the lead truck and 10% fuel savings for the following truck.,publisher,urn:doi:10.4271/2020-01-0676,10.4271/2020-01-0676,Reducing Road Vehicle Fuel Consumption by Exploiting Connectivity and Automation: A Literature Survey,"This survey examines the potential of connectivity and automation to reduce road vehicle fuel consumption, highlighting the dominant role of platooning in highway settings.",2020,SAE International Journal of Commercial Vehicles,Miguel Alvarez; Chu Xu; Manuel A. Rodriguez; Abdullah Al-Mamun; Mohamed Wahba; Sean Brennan; Hosam K. Fathy,https://doi.org/10.4271/2020-01-0676,False
Democratic,20171005-bermans-bill-advancing-green-trucking-technologies-signed-law.txt,5,Platooning could lead to 4.5% fuel savings for the lead truck and 10% fuel savings for the following truck.,publisher,urn:doi:10.4271/2015-01-0678,10.4271/2015-01-0678,Cyber-Physical Control of Road Freight Transport,"This paper reviews how modern information and communication technology supports a cyber-physical transportation system architecture with integrated logistic systems coordinating fleets of trucks traveling together in vehicle platoons, achieving significant fuel savings.",2015,SAE International Journal of Commercial Vehicles,B. Besselink; V. Turri; S. H. van de Hoef; K. -Y. Liang; A. Alam; J. Mårtensson; K. H. Johansson,https://doi.org/10.4271/2015-01-0678,False
Democratic,20180814-assemblymember-ash-kalra-commends-california-supreme-court-ruling-predatory.txt,3,"The California Legislature failed to pass AB 2500, which aimed to extend the interest rate cap for loans up to $5,000.",publisher,turn0search2,,Assemblymember Ash Kalra Commends California Supreme Court Ruling on Predatory Lending,"Assemblymember Ash Kalra commends the California Supreme Court's ruling in De La Torre v. CashCall, finding that high-interest rates on loans above $2,500 are 'unconscionable.'",2018,Official Website - Assemblymember Ash Kalra Representing the 25th California Assembly District,Ash Kalra,https://a25.asmdc.org/press-releases/20180814-assemblymember-ash-kalra-commends-california-supreme-court-ruling-predatory,True
Democratic,20180814-assemblymember-ash-kalra-commends-california-supreme-court-ruling-predatory.txt,3,"The California Legislature failed to pass AB 2500, which aimed to extend the interest rate cap for loans up to $5,000.",publisher,turn0search4,,Assembly fails to approve bill to protect consumers from predatory installment loans,"AB 2500 (Kalra) would have capped interest rates on loans between $2,500 and $5,000 but was defeated in the California Assembly after intense lobbying by the financial industry.",2018,Consumer Reports,,https://advocacy.consumerreports.org/press_release/assembly-fails-to-approve-bill-to-protect-consumers-from-predatory-installment-loans/,True
Democratic,20180814-assemblymember-ash-kalra-commends-california-supreme-court-ruling-predatory.txt,3,"The California Legislature failed to pass AB 2500, which aimed to extend the interest rate cap for loans up to $5,000.",publisher,turn0search11,,Bill to Stop Predatory Lending Clears Key Committee Hurdle,"AB 2500, the Safe Consumer Lending Act, would have protected California families from abusive high-cost installment loans but was defeated in the California Assembly after intense lobbying by the financial industry.",2018,Center for Responsible Lending,,https://www.responsiblelending.org/media/bill-stop-predatory-lending-clears-key-committee-hurdle,True
