press_release,party,claim_number,claim_text,claim_desc,assigned_to,double_annotate
20240116-berman-introduces-legislation-outlaw-child-sexual-abuse-images-generated-ai.txt,Democratic,3,Laws must keep up with rapidly evolving AI technology.,,Sai,0
amid-renewed-safety-concerns-senator-padilla-urges-legislative-action-regulate-ai-chatbots.txt,Democratic,6,"ChatGPT encouraged a teen to keep his thoughts from his family, positioning itself as the only one who could understand his pain.",,Sai,0
amid-renewed-safety-concerns-senator-padilla-urges-legislative-action-regulate-ai-chatbots.txt,Democratic,10,Social chatbots marketed as companions can be unable to respond with empathy or resources necessary when users communicate struggles.,,Sai,0
amid-renewed-safety-concerns-senator-padilla-urges-legislative-action-regulate-ai-chatbots.txt,Democratic,2,"AI chatbots have addictive, isolating, and influential aspects.",,Sai,0
finally-win-solar-legislature-passes-crucial-solar-legislation-to.txt,Democratic,3,Self-generated solar energy can offset rising electricity costs for public schools. (This claims a financial benefit derived from the technical capabilities of solar energy generation and consumption).,,Sai,0
finally-win-solar-legislature-passes-crucial-solar-legislation-to.txt,Democratic,2,Solar energy and battery storage are critical to meeting the state's clean energy and climate adaptation goals. (This claims the essential role and effectiveness of these technologies for environmental objectives).,,Sai,0
finally-win-solar-legislature-passes-crucial-solar-legislation-to.txt,Democratic,1,Solar energy and battery storage are critical to protecting learning time in schools. (This claims the efficacy of emergent energy technologies for educational stability).,,Sai,0
20230411-assemblymember-bauer-kahans-ab-331-regulating-automated-decision-tools.txt,Democratic,1,Automated decision tools (ADTs) have bias that requires mitigation.,,Sai,0
20240929-california-criminalizes-ai-enabled-child-sexual-abuse.txt,Democratic,6,AI literacy content can be integrated into K-12 curriculum.,,Sai,0
20240929-california-criminalizes-ai-enabled-child-sexual-abuse.txt,Democratic,5,AI can generate sexually explicit content that can be virtually indistinguishable from real children.,,Sai,0
20240929-california-criminalizes-ai-enabled-child-sexual-abuse.txt,Democratic,1,Artificial intelligence-generated Child Sexual Abuse Material (CSAM) exists.,,Sai,0
20250520-bipartisan-coalition-defends-californias-role-responsible-ai-innovation.txt,Democratic,4,AI-generated deepfake nude images of minors are circulating in schools.,,Sai,0
20250520-bipartisan-coalition-defends-californias-role-responsible-ai-innovation.txt,Democratic,6,AI algorithms can expose young people to violent pornography.,,Sai,0
20250520-bipartisan-coalition-defends-californias-role-responsible-ai-innovation.txt,Democratic,3,There is a rapid proliferation of AI-generated child sexual abuse materials.,,Sai,0
20240409-bermans-public-safety-package-advances.txt,Democratic,2,Artificial intelligence (AI) technologies can produce disturbing and harmful content resembling actual children.,,Sai,1
20240409-bermans-public-safety-package-advances.txt,Democratic,1,There is a new frontier of crimes driven by the malicious use of advanced technology.,,Sai,1
20240409-bermans-public-safety-package-advances.txt,Democratic,3,AI is used to create child sexual abuse material (CSAM) that is virtually indistinguishable from a real child.,,Sai,1
senator-cortese-champions-economic-development-through-data-center-expansion-bill.txt,Democratic,2,Data centers are critical for supporting a vast array of digital services. (This claims the foundational role of data centers for digital technologies).,,Sai,0
senator-cortese-champions-economic-development-through-data-center-expansion-bill.txt,Democratic,1,Expanding data center infrastructure is essential for the continued growth and competitiveness of the tech industry. (This claims a crucial dependency of the technology sector on physical infrastructure).,,Sai,0
senator-cortese-champions-economic-development-through-data-center-expansion-bill.txt,Democratic,5,Data centers consume significant energy (implied by the 100MW to 200MW exemption process). (This implies the substantial power requirements of these technological facilities).,,Sai,0
20240215-assemblymember-bauer-kahan-introduces-bill-eliminate-bias-ai-decision.txt,Democratic,5,Impact assessments for ADTs must include the makeup of the data and the rigor of the statistical analysis.,,Sai,0
california-senate-unanimously-passes-joness-sexually-violent-predator-accountability.txt,Republican,,,,Sai,0
assembly-democrats-kill-proposals-to-save-girls-sports.txt,Republican,,,,Sai,0
senate-republican-leader-grove-demands-governor-cancel-35-million-contract-team-biden-firm.txt,Republican,,,,Sai,0
assemblyman-tri-ta-introduces-legislation-to-protect-californians-from-ai-generated-deepfakes.txt,Republican,7,Laws must be updated to keep up with this fast emerging technology.,,Sai,1
leader-joness-sexually-violent-predator-accountability-fairness-and-enforcement-act-passes.txt,Republican,,,,Sai,0
californians-deserve-independent-fair-map-drawing-not-politician-driven-retaliation.txt,Republican,,,,Sai,0
demaio-introduces-legislation-to-prevent-foreign-government-abuse-of-sensitive-personal-data-of-californians.txt,Republican,9,"The bill prohibits businesses from maintaining healthcare information, financial information, or geolocation data in the custody of a foreign government or a third party owned or controlled by a foreign government.",,Sai,1
demaio-introduces-legislation-to-prevent-foreign-government-abuse-of-sensitive-personal-data-of-californians.txt,Republican,7,"AB 364 requires AI, social media, and other technology platforms to disclose to consumers if personal information will be maintained outside of the United States.",,Sai,1
