party,press_release,claim_number,ref_uid,stance_claude_judge,stance_nli_deberta,stance_nli_bart,consensus,unanimous,claim_text,ref_title
dem,20171005-bermans-bill-advancing-green-trucking-technologies-signed-law.txt,5,10.1177/0361198119840340,support,silent,silent,silent,0,Platooning could lead to 4.5% fuel savings for the lead truck and 10% fuel savings for the following truck.,Effect of Heavy-Truck Platooning Fuel-Efficiency Gains on Overall Fuel Efficiency
dem,20171005-bermans-bill-advancing-green-trucking-technologies-signed-law.txt,5,10.4271/2020-01-0679,support,silent,silent,silent,0,Platooning could lead to 4.5% fuel savings for the lead truck and 10% fuel savings for the following truck.,Impact of Mixed Traffic on the Energy Savings of a Truck Platoon
dem,20171005-bermans-bill-advancing-green-trucking-technologies-signed-law.txt,5,10.4271/2018-01-0123,abstain,silent,silent,silent,1,Platooning could lead to 4.5% fuel savings for the lead truck and 10% fuel savings for the following truck.,"Class-8 Trucks with Standard-Trailers Net a Fuel Savings of Between 5.2 and 7.8 Percent in a Three-Truck CACC Platoon. With Aerodynamic-Trailers, These Savings "
dem,20171005-bermans-bill-advancing-green-trucking-technologies-signed-law.txt,5,10.4271/2018-01-0124,abstain,silent,silent,silent,1,Platooning could lead to 4.5% fuel savings for the lead truck and 10% fuel savings for the following truck.,Simulation Analysis Estimates Fuel Savings of Up to 12.3 Percent Using Long-Horizon Predictive Cruise Control in Truck Platooning
dem,20171005-bermans-bill-advancing-green-trucking-technologies-signed-law.txt,5,10.4271/2020-01-0678,abstain,silent,silent,silent,1,Platooning could lead to 4.5% fuel savings for the lead truck and 10% fuel savings for the following truck.,Vehicle Platooning Impact on Drag Coefficients and Energy/Fuel Saving Implications
dem,20180814-assemblymember-ash-kalra-commends-california-supreme-court-ruling-predatory.txt,3,turn0search2,abstain,silent,silent,silent,1,"The California Legislature failed to pass AB 2500, which aimed to extend the interest rate cap for loans up to $5,000.",Assemblymember Ash Kalra Commends California Supreme Court Ruling on Predatory Lending
dem,20180814-assemblymember-ash-kalra-commends-california-supreme-court-ruling-predatory.txt,3,turn0search4,abstain,support,support,support,1,"The California Legislature failed to pass AB 2500, which aimed to extend the interest rate cap for loans up to $5,000.",Assembly fails to approve bill to protect consumers from predatory installment loans
dem,20180814-assemblymember-ash-kalra-commends-california-supreme-court-ruling-predatory.txt,3,turn0search11,abstain,silent,silent,silent,1,"The California Legislature failed to pass AB 2500, which aimed to extend the interest rate cap for loans up to $5,000.",Bill to Stop Predatory Lending Clears Key Committee Hurdle
dem,20180921-assemblymember-cecilia-aguiar-currys-wildfire-recovery-bill-package-signed.txt,15,10.1126/sciadv.ade1234,abstain,silent,silent,silent,1,Californians are at unprecedented risk of wildfire disaster due to the current state of the forests.,Low-intensity fires mitigate the risk of high-intensity wildfires in California's forests
dem,20180921-assemblymember-cecilia-aguiar-currys-wildfire-recovery-bill-package-signed.txt,15,10.1126/sciadv.ade5678,support,silent,refute,support,0,Californians are at unprecedented risk of wildfire disaster due to the current state of the forests.,Twenty-year study confirms California forests are healthier when burned — or thinned
