press_release,claim_number,claim_text,note
assembly-democrats-kill-proposals-to-save-girls-sports.txt,,,This source does not contain any AI/Emergent Technology claims.
assembly-democrats-protect-sexually-violent-predators-over-families.txt,,,This source does not contain any AI/Emergent Technology claims.
assemblyman-alanis-introduces-bill-package-to-address-affordability-housing.txt,,,This source does not contain any AI/Emergent Technology claims.
assemblyman-essayli-introduces-ajr-6-calling-for-immediate-pause-to-artificial-intelligence-development.txt,1,"The future of humanity and how we live, work, and play, depends on thoughtful planning and management of the most advanced artificial intelligence systems.",
assemblyman-essayli-introduces-ajr-6-calling-for-immediate-pause-to-artificial-intelligence-development.txt,2,An immediate pause in AI development for at least six months is necessary to allow time to develop necessary safeguards for humanity.,
assemblyman-essayli-introduces-ajr-6-calling-for-immediate-pause-to-artificial-intelligence-development.txt,3,The rapid pace at which advanced AI systems like GPT-4 are developing is alarming and unprecedented.,
assemblyman-essayli-introduces-ajr-6-calling-for-immediate-pause-to-artificial-intelligence-development.txt,4,Consultation with experts in the tech industry who are sounding the alarm about advanced AI technology is needed.,
assemblyman-essayli-introduces-ajr-6-calling-for-immediate-pause-to-artificial-intelligence-development.txt,5,Elon Musk joined other prominent figures in the tech industry in urging the world’s leading artificial intelligence labs to pause the training of new super-powerful systems for six months.,
assemblyman-essayli-introduces-ajr-6-calling-for-immediate-pause-to-artificial-intelligence-development.txt,6,"Recent advances in AI present ""profound risks to society and humanity"".",
assemblyman-jeff-gonzalez-announces-woman-of-the-year-award-recipient.txt,,,This source does not contain any AI/Emergent Technology claims.
assemblyman-jeff-gonzalez-statement-on-the-passage-of-ab-1412-supporting-military-families-and-students-with-special-needs.txt,,,This source does not contain any AI/Emergent Technology claims.
assemblyman-jeff-gonzalezs-statement-on-ab-1412-supporting-military-families-and-students-with-special-needs-passes-out-of-military-and-veterans-affairs-committe.txt,,,This source does not contain any AI/Emergent Technology claims.
