press_release,claim_number,claim_text
14-key-senator-becker-bills-advance-to-senate-floor.txt,1,The California Interagency Artificial Intelligence (AI) Working Group is established to produce a biannual report focusing on the implications and safeguards for AI technology. (The study of AI's societal implications and the development of effective safeguards are active areas of scientific and technical research).
20181004-quirk-silva-funds-career-technical-education-fullerton-college.txt,1,Fullerton College's welding program will acquire welding machines capable of working with materials used in aerospace and national defense projects. (This indicates a claim about the advanced capabilities and material compatibility of modern welding technology).
20181004-quirk-silva-funds-career-technical-education-fullerton-college.txt,2,The college plans to purchase new fabrication and cutting equipment that will enable students to perform more complex structural weldments. (This refers to advancements in industrial fabrication processes and equipment).
20181004-quirk-silva-funds-career-technical-education-fullerton-college.txt,3,Fullerton College will be adding robotic technology to its curriculum. (The integration and application of robotics in educational settings for vocational training is a field of study).
20181004-quirk-silva-funds-career-technical-education-fullerton-college.txt,4,There is an observed trend that manufacturing is increasingly adopting welding robots and technicians in automation. (This is an empirical claim about technological adoption rates and trends in industry).
20181004-quirk-silva-funds-career-technical-education-fullerton-college.txt,5,The introduction of robotic technology is expected to keep North Orange County's manufacturing sector up-to-date with global manufacturing technology standards. (This suggests a claim about the benchmark and impact of adopting advanced manufacturing technologies).
20181004-quirk-silva-funds-career-technical-education-fullerton-college.txt,6,"The department will install welding inspection instruction and lab spaces to teach specialized inspection processes and skills. (This implies the need for and development of advanced, potentially automated, inspection methodologies in manufacturing)."
20190219-berman-introduces-bill-prevent-spread-malicious-deepfakes.txt,1,Deepfakes are defined as hyper-realistic video or audio recordings of someone appearing to say or do something that the individual did not say or do. (This is a foundational definition of the emergent technology itself).
20190219-berman-introduces-bill-prevent-spread-malicious-deepfakes.txt,2,"Deepfakes are asserted to distort the truth, making it harder to distinguish real events and actions from fiction and fantasy. (This is a claim about the cognitive and perceptual impact of deepfake technology on human observers)."
20190219-berman-introduces-bill-prevent-spread-malicious-deepfakes.txt,3,"Deceptive video and audio recordings have the potential to be weaponized against individuals, communities, or the public at large. (This is a claim about the potential malicious applications and societal risks of the technology)."
20190219-berman-introduces-bill-prevent-spread-malicious-deepfakes.txt,4,"Deepfakes are reported to be already in use for harassing women. (This is an empirical claim about a specific, observed misuse of the technology)."
20190219-berman-introduces-bill-prevent-spread-malicious-deepfakes.txt,5,"The technology has the ability to cause further harm by inciting violence, manipulating elections, and undermining national security. (These are predictions about the broader, potentially severe societal consequences of deepfakes)."
20190219-berman-introduces-bill-prevent-spread-malicious-deepfakes.txt,6,Deepfakes are created using artificial intelligence technology that seamlessly superimposes the movements and words of one person onto another. (This describes the technical method and underlying AI capability for generating deepfakes).
20190219-berman-introduces-bill-prevent-spread-malicious-deepfakes.txt,7,The existence of deepfakes makes it harder to combat the spread of disinformation. (This is a claim about the impact of deepfake technology on efforts to maintain informational integrity).
