party,press_release,claim_number,claim_text,claim_desc,category,is_policy_like
Democratic,20170511-gipson-announces-letter-writing-campaign-advance-possible-vote-gut-aca.txt,1,"The Affordable Care Act (ACA) has resulted in millions of Californians having comprehensive, affordable health coverage.",,,
Democratic,20170511-gipson-announces-letter-writing-campaign-advance-possible-vote-gut-aca.txt,2,The ACA does not discriminate against people with pre-existing conditions.,,,
Democratic,20170511-gipson-announces-letter-writing-campaign-advance-possible-vote-gut-aca.txt,3,1 in 6 Californians benefit from the Affordable Care Act (ACA).,,,
Democratic,20170511-gipson-announces-letter-writing-campaign-advance-possible-vote-gut-aca.txt,4,Repealing and replacing the Affordable Care Act with Trumpcare could jeopardize healthcare for 5 million Californians.,,,
Democratic,20170825-media-advisory-child-identity-theft-press-conference.txt,1,A recent Carnegie Mellon study indicated that children are 50 times more likely than adults to have their identities stolen.,,,
Democratic,20170825-media-advisory-child-identity-theft-press-conference.txt,2,"Prior to the enactment of AB 1580, parents had to go through a rigorous process to freeze their children’s credit report.",,,
Democratic,20170825-media-advisory-child-identity-theft-press-conference.txt,3,The process to freeze a child’s credit report previously included a 60-90 day wait period and the provision of notarized identification documents to credit bureaus.,,,
Democratic,20170825-media-advisory-child-identity-theft-press-conference.txt,4,"The new Child Identity Theft Law allows parents, legal guardians, or conservators to freeze the credit of children and incapacitated adults.",,,
Democratic,20170825-media-advisory-child-identity-theft-press-conference.txt,5,The new law allows for the credit freezing process to be significantly shortened.,,,
Democratic,20170918-330-million-dollar-bill-rural-broadband-negotiated-assemblymember-aguiar.txt,1,AB 1665 aims to expand broadband access and digital literacy in communities deprived of reliable internet connections.,,,
Democratic,20170918-330-million-dollar-bill-rural-broadband-negotiated-assemblymember-aguiar.txt,2,The California Advanced Services Fund (CASF) is designed to incentivize the expansion of broadband infrastructure to 98% of California households.,,,
Democratic,20170918-330-million-dollar-bill-rural-broadband-negotiated-assemblymember-aguiar.txt,3,AB 1665 expands the CASF goal to 98% of households in every geographic region of California.,,,
Democratic,20170918-330-million-dollar-bill-rural-broadband-negotiated-assemblymember-aguiar.txt,4,AB 1665 will focus broadband infrastructure projects in rural California to ensure access in underserved areas.,,,
Democratic,20170918-330-million-dollar-bill-rural-broadband-negotiated-assemblymember-aguiar.txt,5,"Internet access has become essential for health, economic, and educational opportunities.",,,
Democratic,20170918-330-million-dollar-bill-rural-broadband-negotiated-assemblymember-aguiar.txt,6,"Investment in internet access correlates with investment in education, healthcare access, and economic development.",,,
Democratic,20171005-bermans-bill-advancing-green-trucking-technologies-signed-law.txt,1,Assembly Bill 669 reauthorizes the California Department of Transportation to test Cooperative Adaptive Cruise Control technologies.,,,
Democratic,20171005-bermans-bill-advancing-green-trucking-technologies-signed-law.txt,2,CACC technologies allow trucks to safely follow each other with less than 100 feet between vehicles by syncing acceleration and braking.,,,
Democratic,20171005-bermans-bill-advancing-green-trucking-technologies-signed-law.txt,3,Platooning enhances safety and lessens traffic.,,,
Democratic,20171005-bermans-bill-advancing-green-trucking-technologies-signed-law.txt,4,CACC technologies can reduce fuel consumption by 10 to 15 percent.,,,
Democratic,20171005-bermans-bill-advancing-green-trucking-technologies-signed-law.txt,5,Platooning could lead to 4.5% fuel savings for the lead truck and 10% fuel savings for the following truck.,,,
Democratic,20171005-bermans-bill-advancing-green-trucking-technologies-signed-law.txt,6,The goods movement sector accounts for half the state’s diesel consumption.,,,
Democratic,20171005-bermans-bill-advancing-green-trucking-technologies-signed-law.txt,7,"Fuel savings from CACC technologies will have a significant, positive impact on air quality.",,,
Democratic,20171115-gipson-champions-environmental-projects-64th-district.txt,1,The Urban Greening Program is financed by Cap-and-Trade revenue.,,,
