ai_category,ai_statement_count,assigned_to,document_date,double_annotate,filename,has_ai,matched_ai_terms,num_sentences,party,source,unique_arxiv_count,unique_dois_count,unique_urls_count
ai,2,Zack,,0,reyes-issues-statement-passage-election-rigging-response-act.txt,True,fairness,44,Democratic,Democratic Assembly,0,0,0
ai,10,Sai,,0,20240116-berman-introduces-legislation-outlaw-child-sexual-abuse-images-generated-ai.txt,True,ai; artificial intelligence; ml,48,Democratic,Democratic Assembly,0,0,0
ai,10,Zack,"September 8, 2025",0,senator-josh-becker-condemns-efforts-to-undermine-californias-ai.txt,True,ai; artificial intelligence,29,Democratic,Democratic Assembly,0,0,0
ai,2,Sai,"October 7, 2023",1,20250224-state-legislators-introduce-bill-create-curriculum-standards-ethnic-studies.txt,True,bias,81,Democratic,Democratic Assembly,0,0,0
ai,2,Zack,"October 7, 2023",1,20250224-state-legislators-introduce-bill-create-curriculum-standards-ethnic-studies.txt,True,bias,81,Democratic,Democratic Assembly,0,0,0
ai,10,Zack,"September 8, 2025",0,assembly-committee-unanimously-approves-the-physicians-make.txt,True,ai; algorithm; algorithms; artificial intelligence,36,Democratic,Democratic Assembly,0,0,0
ai,2,Sai,,0,senate-health-committee-passes-senator-corteses-sb-999-reform-mental-health-and-addiction.txt,True,fairness,28,Democratic,Democratic Assembly,0,0,0
ai,4,Zack,,0,20240828-bill-shield-elections-deceptive-online-deepfakes-passes-legislature.txt,True,ai; generative ai,25,Democratic,Democratic Assembly,0,0,0
ai,16,Sai,,0,amid-renewed-safety-concerns-senator-padilla-urges-legislative-action-regulate-ai-chatbots.txt,True,ai; artificial intelligence; chatbot; chatgpt; gpt-; openai,49,Democratic,Democratic Assembly,0,0,0
ai,2,Zack,,0,20250513-assemblymember-wards-surveillance-pricing-protection-act-moves-senate.txt,True,facial recognition; fairness,22,Democratic,Democratic Assembly,0,0,0
ai,3,Sai,"September 8, 2025",0,finally-win-solar-legislature-passes-crucial-solar-legislation-to.txt,True,fairness,40,Democratic,Democratic Assembly,0,0,0
ai,4,Zack,"September 8, 2025",0,comprehensive-legislative-package-authored-senator-becker-to.txt,True,ai; algorithms; artificial intelligence; genai,37,Democratic,Democratic Assembly,0,0,0
ai,5,Sai,,0,20230411-assemblymember-bauer-kahans-ab-331-regulating-automated-decision-tools.txt,True,ai; algorithm; algorithms; automated decision; bias; machine learning,21,Democratic,Democratic Assembly,0,0,0
ai,2,Zack,,1,20250401-new-bill-bans-unfair-junk-fees-renters.txt,True,fairness,34,Democratic,Democratic Assembly,0,0,0
ai,2,Sai,,1,20250401-new-bill-bans-unfair-junk-fees-renters.txt,True,fairness,34,Democratic,Democratic Assembly,0,0,0
ai,11,Sai,,0,20240929-california-criminalizes-ai-enabled-child-sexual-abuse.txt,True,ai; artificial intelligence,48,Democratic,Democratic Assembly,0,0,0
ai,2,Zack,"September 30, 2020",0,20201001-governor-newsom-signs-legislation-reforming-police-officer-recruitment-and.txt,True,bias,16,Democratic,Democratic Assembly,0,0,0
ai,13,Sai,,0,20250520-bipartisan-coalition-defends-californias-role-responsible-ai-innovation.txt,True,ai; algorithms; artificial intelligence,72,Democratic,Democratic Assembly,0,0,0
ai,7,Zack,,0,20240313-democracy-leaders-introduce-solutions-curb-emerging-digital-threats.txt,True,ai; generative ai,45,Democratic,Democratic Assembly,0,0,0
ai,4,Sai,,1,20240409-bermans-public-safety-package-advances.txt,True,ai; artificial intelligence,71,Democratic,Democratic Assembly,0,0,0
ai,4,Zack,,1,20240409-bermans-public-safety-package-advances.txt,True,ai; artificial intelligence,71,Democratic,Democratic Assembly,0,0,0
ai,2,Zack,"August 27, 2021",1,20210827-assemblymember-ash-kalra-releases-statement-racial-justice-act-all-ab-256.txt,True,bias,19,Democratic,Democratic Assembly,0,0,0
ai,2,Sai,"August 27, 2021",1,20210827-assemblymember-ash-kalra-releases-statement-racial-justice-act-all-ab-256.txt,True,bias,19,Democratic,Democratic Assembly,0,0,0
ai,2,Sai,,0,20250422-assemblymember-dr-lashae-sharp-collins-unveils-bold-legislative-package.txt,True,fairness,28,Democratic,Democratic Assembly,0,0,0
ai,3,Zack,"January 1, 2025",0,20241226-new-year-new-laws.txt,True,ai,43,Democratic,Democratic Assembly,0,0,0
ai,2,Sai,,0,senator-cortese-champions-economic-development-through-data-center-expansion-bill.txt,True,ai; artificial intelligence,21,Democratic,Democratic Assembly,0,0,0
ai,8,Zack,,0,20230321-assemblywoman-lori-d-wilson-announces-advancement-freedom-face-surveillance.txt,True,facial recognition,33,Democratic,Democratic Assembly,0,0,0
ai,14,Sai,,0,20240215-assemblymember-bauer-kahan-introduces-bill-eliminate-bias-ai-decision.txt,True,ai; algorithm; algorithms; artificial intelligence; automated decision; bias,38,Democratic,Democratic Assembly,0,0,2
ai,4,Zack,,0,20200706-assemblymember-ash-kalra-and-advocates-declare-now-time-california-racial.txt,True,bias,28,Democratic,Democratic Assembly,0,0,0
nonai,0,Zack,,0,20250219-zbur-introduces-legislation-launch-quick-build-pilot-program-safer.txt,False,,23,Democratic,Democratic Assembly,0,0,0
nonai,0,Sai,,0,20220325-tasha-boerner-horvath-honors-kristine-schindler-2022-woman-year.txt,False,,33,Democratic,Democratic Assembly,0,0,0
nonai,0,Zack,"September 8, 2025",0,california-legislature-advances-to-the-governor-senator.txt,False,,38,Democratic,Democratic Assembly,0,0,0
nonai,0,Sai,,1,20200821-joint-statement-congressmember-panetta-senator-monning-senator-caballero.txt,False,,20,Democratic,Democratic Assembly,0,0,0
nonai,0,Zack,,1,20200821-joint-statement-congressmember-panetta-senator-monning-senator-caballero.txt,False,,20,Democratic,Democratic Assembly,0,0,0
nonai,0,Zack,,0,20250424-connolly-passes-five-more-bills-through-policy-committees.txt,False,,35,Democratic,Democratic Assembly,0,0,0
nonai,0,Sai,"January 1, 2016",0,20150812-governor-signs-assemblymember-holdens.txt,False,,10,Democratic,Democratic Assembly,0,0,0
nonai,0,Zack,,0,20240827-papan-legislation-remove-unfair-barriers-paid-family-leave-benefits-signed.txt,False,,16,Democratic,Democratic Assembly,0,0,0
nonai,0,Sai,,0,20250716-legislators-announce-agreement-advance-legislation-cracking-down-looting 2.txt,False,,39,Democratic,Democratic Assembly,0,0,0
nonai,0,Zack,,0,20150709-irwin-leads-cybersecurity-hearing-considers-public-safety-and-national.txt,False,,11,Democratic,Democratic Assembly,0,0,0
nonai,0,Sai,,0,california-bill-end-archaic-spousal-rape-exception-moves-forward.txt,False,,31,Democratic,Democratic Assembly,0,0,0
nonai,0,Zack,,0,20211012-governor-newsom-signs-measure-significantly-strengthen-hate-crime.txt,False,,27,Democratic,Democratic Assembly,0,0,0
nonai,0,Sai,,0,20250613-assemblywoman-sorias-statement-approval-2025-26-state-budget.txt,False,,32,Democratic,Democratic Assembly,0,0,0
nonai,0,Zack,,1,20170406-assemblymember-al-muratsuchis-assembly-bill-ab-1649-passes-out-assemblys.txt,False,,15,Democratic,Democratic Assembly,0,0,0
nonai,0,Sai,,1,20170406-assemblymember-al-muratsuchis-assembly-bill-ab-1649-passes-out-assemblys.txt,False,,15,Democratic,Democratic Assembly,0,0,0
nonai,0,Sai,"June 29, 2023",0,20230629-asm-gipson-condemns-scotus-striking-down-affirmative-action.txt,False,,20,Democratic,Democratic Assembly,0,0,0
nonai,0,Zack,,0,20240715-new-safety-act-signed-law-protect-lgbtq-students-california.txt,False,,64,Democratic,Democratic Assembly,0,0,0
nonai,0,Sai,,0,20250311-samantha-rodriguez-honored-ad12-woman-year.txt,False,,13,Democratic,Democratic Assembly,0,0,0
nonai,0,Zack,,0,20250106-assemblywoman-lori-d-wilson-reappointed-chair-assembly-transportation.txt,False,,12,Democratic,Democratic Assembly,0,0,0
nonai,0,Sai,"September 8, 2025",1,senator-beckers-basic-act-receives-approval-assembly.txt,False,,27,Democratic,Democratic Assembly,0,0,0
nonai,0,Zack,"September 8, 2025",1,senator-beckers-basic-act-receives-approval-assembly.txt,False,,27,Democratic,Democratic Assembly,0,0,0
nonai,0,Zack,"January 1, 2022",1,20211004-bill-save-lives-and-initiate-development-bluff-collapse-early-warning.txt,False,,20,Democratic,Democratic Assembly,0,0,0
nonai,0,Sai,"January 1, 2022",1,20211004-bill-save-lives-and-initiate-development-bluff-collapse-early-warning.txt,False,,20,Democratic,Democratic Assembly,0,0,0
