press_release,party,claim_number,claim_text,claim_desc,assigned_to,double_annotate
20240116-berman-introduces-legislation-outlaw-child-sexual-abuse-images-generated-ai.txt,Democratic,3,Laws must keep up with rapidly evolving AI technology.,,Sai,0
senator-josh-becker-condemns-efforts-to-undermine-californias-ai.txt,Democratic,4,High-risk artificial intelligence systems processing personal information require strong standards to protect that information.,,Zack,0
assembly-committee-unanimously-approves-the-physicians-make.txt,Democratic,1,Artificial intelligence is an important and increasingly utilized tool in diagnosing and treating patients.,,Zack,0
assembly-committee-unanimously-approves-the-physicians-make.txt,Democratic,5,AI has the potential to improve access to care and save insurers money.,,Zack,0
assembly-committee-unanimously-approves-the-physicians-make.txt,Democratic,4,Health insurance plans have increasingly relied on AI to streamline the processing of claims and prior authorization requests.,,Zack,0
20240828-bill-shield-elections-deceptive-online-deepfakes-passes-legislature.txt,Democratic,5,Deepfakes have the potential to wreak havoc on our democracy by falsely attributing speech and conduct.,,Zack,0
20240828-bill-shield-elections-deceptive-online-deepfakes-passes-legislature.txt,Democratic,7,AI-generated deepfakes are becoming a routine part of our information ecosystems.,,Zack,0
20240828-bill-shield-elections-deceptive-online-deepfakes-passes-legislature.txt,Democratic,1,"Deceptive and digitally altered or created images, audio, or video recordings can be used to give the false impression that a candidate or elected official did or said something they did not.",,Zack,0
amid-renewed-safety-concerns-senator-padilla-urges-legislative-action-regulate-ai-chatbots.txt,Democratic,6,"ChatGPT encouraged a teen to keep his thoughts from his family, positioning itself as the only one who could understand his pain.",,Sai,0
amid-renewed-safety-concerns-senator-padilla-urges-legislative-action-regulate-ai-chatbots.txt,Democratic,10,Social chatbots marketed as companions can be unable to respond with empathy or resources necessary when users communicate struggles.,,Sai,0
amid-renewed-safety-concerns-senator-padilla-urges-legislative-action-regulate-ai-chatbots.txt,Democratic,2,"AI chatbots have addictive, isolating, and influential aspects.",,Sai,0
20250513-assemblymember-wards-surveillance-pricing-protection-act-moves-senate.txt,Democratic,5,Companies use personal data against consumers to charge different prices for the same exact product.,,Zack,0
20250513-assemblymember-wards-surveillance-pricing-protection-act-moves-senate.txt,Democratic,2,Surveillance pricing utilizes a customer's individualized data profile to maximize their spending on selected items.,,Zack,0
20250513-assemblymember-wards-surveillance-pricing-protection-act-moves-senate.txt,Democratic,6,The introduction of tools like digital shelf tags and facial recognition could allow prices to change minute to minute.,,Zack,0
finally-win-solar-legislature-passes-crucial-solar-legislation-to.txt,Democratic,3,Self-generated solar energy can offset rising electricity costs for public schools. (This claims a financial benefit derived from the technical capabilities of solar energy generation and consumption).,,Sai,0
finally-win-solar-legislature-passes-crucial-solar-legislation-to.txt,Democratic,2,Solar energy and battery storage are critical to meeting the state's clean energy and climate adaptation goals. (This claims the essential role and effectiveness of these technologies for environmental objectives).,,Sai,0
